COUNTYFIPS,COUNTY_NAME,SEX,POPULATION,PERSONVAX,PCTCUMPVAX
00000,GEORGIA,Female,5266230,3050853,57.9
00000,GEORGIA,Male,5012229,2563675,51.1
00000,GEORGIA,Unknown,0,81831,
13001,Appling County,Female,9101,3579,39.3
13001,Appling County,Male,9353,3300,35.3
13001,Appling County,Unknown,0,15,
13003,Atkinson County,Female,4057,1750,43.1
13003,Atkinson County,Male,4208,1658,39.4
13003,Atkinson County,Unknown,0,14,
13005,Bacon County,Female,5664,1943,34.3
13005,Bacon County,Male,5564,1618,29.1
13005,Bacon County,Unknown,0,28,
13007,Baker County,Female,1668,788,47.2
13007,Baker County,Male,1521,692,45.5
13007,Baker County,Unknown,0,2,
13009,Baldwin County,Female,22527,11542,51.2
13009,Baldwin County,Male,22759,9220,40.5
13009,Baldwin County,Unknown,0,30,
13011,Banks County,Female,9229,3342,36.2
13011,Banks County,Male,9281,2848,30.7
13011,Banks County,Unknown,0,8,
13013,Barrow County,Female,39116,19139,48.9
13013,Barrow County,Male,37771,15044,39.8
13013,Barrow County,Unknown,0,56,
13015,Bartow County,Female,52288,22876,43.8
13015,Bartow County,Male,51332,19315,37.6
13015,Bartow County,Unknown,0,75,
13017,Ben Hill County,Female,9107,3811,41.8
13017,Ben Hill County,Male,8047,3099,38.5
13017,Ben Hill County,Unknown,0,15,
13019,Berrien County,Female,9726,3706,38.1
13019,Berrien County,Male,9299,2968,31.9
13019,Berrien County,Unknown,0,11,
13021,Bibb County,Female,81425,41471,50.9
13021,Bibb County,Male,72065,30994,43
13021,Bibb County,Unknown,0,275,
13023,Bleckley County,Female,6838,2765,40.4
13023,Bleckley County,Male,5937,2123,35.8
13023,Bleckley County,Unknown,0,19,
13025,Brantley County,Female,9458,2902,30.7
13025,Brantley County,Male,9103,2440,26.8
13025,Brantley County,Unknown,0,2,
13027,Brooks County,Female,8014,4134,51.6
13027,Brooks County,Male,7608,3267,42.9
13027,Brooks County,Unknown,0,14,
13029,Bryan County,Female,18099,11000,60.8
13029,Bryan County,Male,17786,8709,49
13029,Bryan County,Unknown,0,35,
13031,Bulloch County,Female,38005,15654,41.2
13031,Bulloch County,Male,36777,12675,34.5
13031,Bulloch County,Unknown,0,79,
13033,Burke County,Female,11853,6323,53.3
13033,Burke County,Male,10697,4909,45.9
13033,Burke County,Unknown,0,18,
13035,Butts County,Female,11089,4790,43.2
13035,Butts County,Male,12661,3856,30.5
13035,Butts County,Unknown,0,21,
13037,Calhoun County,Female,2553,1729,67.7
13037,Calhoun County,Male,3875,1405,36.3
13037,Calhoun County,Unknown,0,29,
13039,Camden County,Female,25695,12376,48.2
13039,Camden County,Male,27019,9320,34.5
13039,Camden County,Unknown,0,20,
13043,Candler County,Female,5464,2574,47.1
13043,Candler County,Male,5363,2182,40.7
13043,Candler County,Unknown,0,73,
13045,Carroll County,Female,59574,25706,43.1
13045,Carroll County,Male,56448,21072,37.3
13045,Carroll County,Unknown,0,306,
13047,Catoosa County,Female,34308,14645,42.7
13047,Catoosa County,Male,31991,12356,38.6
13047,Catoosa County,Unknown,0,196,
13049,Charlton County,Female,5461,1799,32.9
13049,Charlton County,Male,7522,1421,18.9
13049,Charlton County,Unknown,0,4,
13051,Chatham County,Female,148646,87543,58.9
13051,Chatham County,Male,138403,72263,52.2
13051,Chatham County,Unknown,0,439,
13053,Chattahoochee County,Female,3595,1159,32.2
13053,Chattahoochee County,Male,7172,1206,16.8
13053,Chattahoochee County,Unknown,0,25,
13055,Chattooga County,Female,11952,5378,45
13055,Chattooga County,Male,12865,4527,35.2
13055,Chattooga County,Unknown,0,16,
13057,Cherokee County,Female,122640,71770,58.5
13057,Cherokee County,Male,119270,60122,50.4
13057,Cherokee County,Unknown,0,167,
13059,Clarke County,Female,65354,33395,51.1
13059,Clarke County,Male,59248,27440,46.3
13059,Clarke County,Unknown,0,157,
13061,Clay County,Female,1528,1129,73.9
13061,Clay County,Male,1473,825,56
13061,Clay County,Unknown,0,27,
13063,Clayton County,Female,147918,73648,49.8
13063,Clayton County,Male,130748,56384,43.1
13063,Clayton County,Unknown,0,273,
13065,Clinch County,Female,3316,1515,45.7
13065,Clinch County,Male,3427,1339,39.1
13065,Clinch County,Unknown,0,8,
13067,Cobb County,Female,384787,243951,63.4
13067,Cobb County,Male,360270,207328,57.5
13067,Cobb County,Unknown,0,665,
13069,Coffee County,Female,20873,9097,43.6
13069,Coffee County,Male,22088,7828,35.4
13069,Coffee County,Unknown,0,264,
13071,Colquitt County,Female,23052,10019,43.5
13071,Colquitt County,Male,22554,9557,42.4
13071,Colquitt County,Unknown,0,301,
13073,Columbia County,Female,75325,41202,54.7
13073,Columbia County,Male,71970,31597,43.9
13073,Columbia County,Unknown,0,89,
13075,Cook County,Female,8836,4072,46.1
13075,Cook County,Male,8348,3230,38.7
13075,Cook County,Unknown,0,15,
13077,Coweta County,Female,72086,37639,52.2
13077,Coweta County,Male,68430,30868,45.1
13077,Coweta County,Unknown,0,143,
13079,Crawford County,Female,6045,2682,44.4
13079,Crawford County,Male,6299,2344,37.2
13079,Crawford County,Unknown,0,20,
13081,Crisp County,Female,11997,5745,47.9
13081,Crisp County,Male,10849,4569,42.1
13081,Crisp County,Unknown,0,38,
13083,Dade County,Female,8295,2961,35.7
13083,Dade County,Male,7932,2593,32.7
13083,Dade County,Unknown,0,7,
13085,Dawson County,Female,12087,5795,47.9
13085,Dawson County,Male,11774,4905,41.7
13085,Dawson County,Unknown,0,24,
13087,Decatur County,Female,13926,7105,51
13087,Decatur County,Male,12907,6152,47.7
13087,Decatur County,Unknown,0,33,
13089,DeKalb County,Female,391316,239702,61.3
13089,DeKalb County,Male,351871,193298,54.9
13089,DeKalb County,Unknown,0,844,
13091,Dodge County,Female,9947,4430,44.5
13091,Dodge County,Male,10972,3345,30.5
13091,Dodge County,Unknown,0,29,
13093,Dooly County,Female,6376,2867,45
13093,Dooly County,Male,7529,2337,31
13093,Dooly County,Unknown,0,25,
13095,Dougherty County,Female,48905,24681,50.5
13095,Dougherty County,Male,42144,18833,44.7
13095,Dougherty County,Unknown,0,199,
13097,Douglas County,Female,74114,38876,52.5
13097,Douglas County,Male,67726,30957,45.7
13097,Douglas County,Unknown,0,125,
13099,Early County,Female,5557,2912,52.4
13099,Early County,Male,4791,2309,48.2
13099,Early County,Unknown,0,22,
13101,Echols County,Female,2021,623,30.8
13101,Echols County,Male,1973,687,34.8
13101,Echols County,Unknown,0,,
13103,Effingham County,Female,29474,14232,48.3
13103,Effingham County,Male,29215,11533,39.5
13103,Effingham County,Unknown,0,72,
13105,Elbert County,Female,10024,4690,46.8
13105,Elbert County,Male,9188,3714,40.4
13105,Elbert County,Unknown,0,130,
13107,Emanuel County,Female,11394,5313,46.6
13107,Emanuel County,Male,11105,4266,38.4
13107,Emanuel County,Unknown,0,22,
13109,Evans County,Female,5424,2531,46.7
13109,Evans County,Male,5303,2124,40.1
13109,Evans County,Unknown,0,13,
13111,Fannin County,Female,12839,5767,44.9
13111,Fannin County,Male,12086,5212,43.1
13111,Fannin County,Unknown,0,26,
13113,Fayette County,Female,57314,38991,68
13113,Fayette County,Male,54055,33766,62.5
13113,Fayette County,Unknown,0,160,
13115,Floyd County,Female,50014,24018,48
13115,Floyd County,Male,46810,19645,42
13115,Floyd County,Unknown,0,523,
13117,Forsyth County,Female,110622,69999,63.3
13117,Forsyth County,Male,109258,62445,57.2
13117,Forsyth County,Unknown,0,183,
13119,Franklin County,Female,11661,4831,41.4
13119,Franklin County,Male,10853,4152,38.3
13119,Franklin County,Unknown,0,9,
